Roberto,Alonzo,Democrat,http://www.politifact.com/personalities/roberto-alonzo/,"Roberto Alonzo of Dallas was initially elected to the Texas House in 1992. He lost his re-election in 1996, but returned to the House after winning afresh in 2004."
Thad,Altman,Republican,http://www.politifact.com/personalities/thad-altman/,"
	Thad Altman was elected to the state Senate in 2008 from Senate District 24. Previously he served in the state House."
Carol,Alvarado,Democrat,http://www.politifact.com/personalities/carol-alvarado/,"
	Carol Alvarado represents Houston in the Texas House of Representatives. Before being elected, she served on the Houston City Council from 2002-2008 and as Mayor Pro Tem from 2004-2008."
Amalgamated,Transit,Amalgamated,http://www.politifact.com/personalities/amalgamated-transit-union/,
Justin,Amash,Republican,http://www.politifact.com/personalities/justin-amash/,Representative Justin Amash represents Michigan’s Third District. He was elected to his first term in 2010.
Jeff,Amason,Libertarian,http://www.politifact.com/personalities/jeff-amason/,attorney and Libertarian candidate for House District 21
AmeriPAC's,file,AmeriPAC,http://www.politifact.com/personalities/ameripac/,
America's,Health,None,http://www.politifact.com/personalities/americas-health-insurance-plans/,AHIP is a trade group representing the health insurance industry.
America's,Natural,America's,http://www.politifact.com/personalities/american-natural-gas-alliance/,
American,Action,The,http://www.politifact.com/personalities/american-action-network/,
American,Beverage,Organization,http://www.politifact.com/personalities/american-beverage-association/,"
	The American Beverage Association is an trade group that represents hundreds of beverage producers, distributors, franchise companies and support industries for non-alcoholic drinks."
American,Bird,None,http://www.politifact.com/personalities/american-bird-conservancy/,"
	American Bird Conservancy is a nonprofit organization whose mission is to conserve native birds and their habitats throughout the Americas. The group opposes a feral cat bill proposed in the 2013 Florida Legislature."
American,Bridge,American,http://www.politifact.com/personalities/american-bridge-21st-century/,
American,Civil,Organization,http://www.politifact.com/personalities/american-civil-liberties-union/,"
	The American Civil Liberties Union bills itself as ""the nation’s premier defender of the rights enshrined in the U.S. Constitution,"" defending ""individual freedoms including speech and religion, a woman’s right to choose, the right to due process, citizens’ rights to privacy and much more . . . even when the cause is unpopular, and sometimes when nobody else will."""
American,Civil,None,http://www.politifact.com/personalities/aclu-florida/,"The American Civil Liberties Union of Florida advocates for ""individual rights and personal freedoms guaranteed by the Constitution and the Bill of Rights."""
American,Commitment,American,http://www.politifact.com/personalities/american-commitment/,
American,Crossroads,American,http://www.politifact.com/personalities/american-crossroads/,
American,Energy,The,http://www.politifact.com/personalities/american-energy-alliance/,
American,Federation,The,http://www.politifact.com/personalities/american-federation-children/,
American,Future,American,http://www.politifact.com/personalities/american-future-fund/,
American,International,AIG,http://www.politifact.com/personalities/american-international-group/,
American,LeadHERship,Organization,http://www.politifact.com/personalities/american-leadhership-pac/,"The American LeadHERship PAC is a political action committee that describes itself as ""an organization dedicated to increasing the ranks of progressive women in governors' seats across the country."" During the 2014 election, the only candidate featured on its website was Gina Raimondo, a Democrat who was ultimately elected Rhode Island governor."
American,Life,The,http://www.politifact.com/personalities/american-life-league/,
American,Petroleum,The,http://www.politifact.com/personalities/american-petroleum-institute/,
American,Postal,The,http://www.politifact.com/personalities/american-postal-workers-union/,
American,Principles,None,http://www.politifact.com/personalities/american-principles-action/,"
	American Principles in Action is a conservative group ""dedicated to preserving and propagating the fundamental principles on which our country was founded."""
AmericanNews.com's,file,AmericanNews.com,http://www.politifact.com/personalities/americannewscom/,
Americans,Against,None,http://www.politifact.com/personalities/americans-against-food-taxes/,"
	Americans Against Food Taxes is a coalition of food, beverage and grocery companies that oppose taxes on sodas and other snacks."
Americans,For,Americans,http://www.politifact.com/personalities/americans-tax-reform/,
Americans,United,A,http://www.politifact.com/personalities/americans-united-change/,
Americans,United,Organization,http://www.politifact.com/personalities/americans-united-life/,"
	Americans United for Life is an anti-abortion law firm and advocacy group based in Washington, D.C."
Americans,for,Americans,http://www.politifact.com/personalities/americans-commonsense-solutions/,
Americans,for,Americans,http://www.politifact.com/personalities/americans-job-security/,
Americans,for,Americans,http://www.politifact.com/personalities/americans-prosperity/,
Americans,for,Americans,http://www.politifact.com/personalities/americans-prosperity-georgia-chapter/,
Americans,for,None,http://www.politifact.com/personalities/americans-prosperity-florida/,"Americans for Prosperity Florida is the Florida affiliate of a free-market group that fights ""big government."""
Americans,for,Americans,http://www.politifact.com/personalities/americans-prosperity-new-jersey/,
Americans,for,Americans,http://www.politifact.com/personalities/americans-responsible-solutions/,
Americans,for,Organization,http://www.politifact.com/personalities/americans-safe-access/,"Americans for Safe Access (ASA) works toward ""ensuring safe and legal access to cannabis (marijuana) for therapeutic uses and research,"" according to its website. It was founded in 2002 and has offices in California and Washington D.C."
Americans,for,Americans,http://www.politifact.com/personalities/americans-strong-defense/,
Elizabeth,Ames,Republican,http://www.politifact.com/personalities/elizabeth-ames-jones/,"
	Elizabeth Ames Jones resigned from the Texas Railroad Commission to run for a Texas Senate seat in 2012. She formerly served in the Texas House."
Ron,Amstutz,Republican,http://www.politifact.com/personalities/ron-amstutz/,"
	State Rep. Ron Amstutz represents the 3rd House District, which includes all of Wayne County, Ohio. He has 30 years of service in both the Ohio Senate and the Ohio House."
